ID,Title,StateID,Latitude,Longitude,DeprivationFactor,WeatherFactor,DistanceKm
652,زرقان,17,29.773832321167,52.7217788696289,0,0,1313.417
653,سده,17,30.710578918457,52.1761169433594,0,0,1201.477
654,سروستان,17,29.2630271911621,53.2238731384277,0,0,1381.108
655,سعادت شهر,17,30.0742740631104,53.1361312866211,0,0,1234.531
656,سورمق,17,31.0344886779785,52.8395576477051,0,0,1103.944
657,سيدان,17,30.0044631958008,53.0056762695313,0,0,1276.774
658,ششده,17,28.9496421813965,53.9957580566406,0,0,1336.242
659,شهر جديد صدرا,17,29.8010139465332,52.5084953308106,0,0,1340.731
660,شهرپير,17,28.311695098877,54.3350334167481,0,0,1449.717
661,شيراز,17,29.5568904876709,52.5291213989258,0,0,1354.415
662,صغاد,17,31.1910705566406,52.5154342651367,0,0,1143.246
663,صفاشهر,17,30.6136665344238,53.1987228393555,0,0,1163.627
664,علامرودشت,17,27.6244621276855,53.000659942627,0,0,1701.122
665,عمادده,17,27.4446449279785,53.8618354797363,0,0,1545.508
666,فدامي,17,28.2168083190918,55.1351432800293,0,0,1317.938
667,فراشبند,17,28.8588905334473,52.09375,0,0,1510.006
668,فسا,17,28.9197254180908,53.6376914978027,0,0,1361.791
669,فيروزآباد,17,28.84885597229,52.5698013305664,0,0,1454.862
670,قادرآباد,17,30.2806663513184,53.2550888061523,0,0,1211.043
671,قائميه,17,29.8443164825439,51.5911064147949,0,0,1465.778
672,قطب آباد,17,28.6406745910645,53.6394729614258,0,0,1432.26
673,قطرويه,17,29.1460361480713,54.7035522460938,0,0,1198.841
674,قير,17,28.4746170043945,53.0439033508301,0,0,1526.618
675,كارزين,17,28.4087162017822,53.1085243225098,0,0,1539.508
676,كازرون,17,29.6037464141846,51.651798248291,0,0,1476.953
677,كامفيروز,17,30.3219833374023,52.1942939758301,0,0,1265.318
678,كره اي,17,30.0297260284424,53.7157554626465,0,0,1268.812
679,كنارتخته,17,29.5339126586914,51.3949165344238,0,0,1520.061
680,كوار,17,29.1960849761963,52.6867179870606,0,0,1397.081
681,كوهنجان,17,29.2311305999756,52.9561920166016,0,0,1411.007
682,گراش,17,27.667142868042,54.1450347900391,0,0,1478.065
683,گله دار,17,27.6488075256348,52.6602058410645,0,0,1641.77
684,لار,17,27.6426486968994,54.3203582763672,0,0,1455.277
685,لامرد,17,27.3299674987793,53.1879196166992,0,0,1709.131
686,لپوئي,17,29.799072265625,52.6520729064941,0,0,1320.212
687,لطيفي,17,27.6899585723877,54.3867034912109,0,0,1444.646
688,مبارك آباد,17,28.3601818084717,53.3287010192871,0,0,1523.752
689,مرودشت,17,29.8595104217529,52.8102722167969,0,0,1298.81
690,مشكان,17,29.4728164672852,54.3459129333496,0,0,1255.247
691,مصيري,17,30.2443103790283,51.5289039611816,0,0,1366.544
692,مهر,17,27.5504589080811,52.8838500976563,0,0,1666.709
693,ميمند,17,28.8682880401611,52.7509155273438,0,0,1459.87
694,نوبندگان,17,28.8538227081299,53.8259201049805,0,0,1380.507
695,نوجين,17,29.125373840332,52.0134887695313,0,0,1544.671
696,نودان,17,29.8016605377197,51.6942291259766,0,0,1457.08
697,نورآباد,17,30.1148166656494,51.5222511291504,0,0,1383.58
698,ني ريز,17,29.1979217529297,54.3226547241211,0,0,1252.126
699,وراوي,17,27.4650325775147,53.0521850585938,0,0,1691.493
700,هماشهر,17,30.1154232025147,52.0876770019531,0,0,1376.2
701,ارداق,18,36.0533561706543,49.8244171142578,0,0,1115.264
702,اسفرورين,18,35.9350814819336,49.7502861022949,0,0,1075.116
703,اقباليه,18,36.2320861816406,49.9266624450684,0,0,1084.566
704,الوند,18,36.1703414916992,50.0741539001465,0,0,1076.525
705,آبگرم,18,35.7574005126953,49.287296295166,0,0,1113.015
706,آبيك,18,36.0398902893066,50.5296974182129,0,0,1027.059
707,آوج,18,35.5797805786133,49.2218399047852,0,0,1136.719
708,بوئين زهرا,18,35.7571525573731,50.0619697570801,0,0,1035.325
709,بيدستان,18,36.2312660217285,50.1214027404785,0,0,1064.739
710,تاكستان,18,36.071418762207,49.696159362793,0,0,1111.615
711,خاكعلي,18,36.1288909912109,50.1757774353027,0,0,1050.938
712,خرمدشت,18,35.9298439025879,49.5117454528809,0,0,1095.316
713,دانسفهان,18,35.8116264343262,49.7436027526856,0,0,1066.326
714,رازميان,18,36.536491394043,50.2123374938965,0,0,1123.246
715,سگزآباد,18,35.7641296386719,49.9394721984863,0,0,1046.274
716,سيردان,18,36.6515922546387,49.1882133483887,0,0,1209.929
717,شال,18,35.8975982666016,49.768367767334,0,0,1071.185
718,شريفيه,18,36.2034111022949,50.1513442993164,0,0,1063.381
719,ضياءآباد,18,35.9955062866211,49.4493370056152,0,0,1105.411
720,قزوين,18,36.2817459106445,50.0019683837891,0,0,1076.551
721,كوهين,18,36.3728675842285,49.6581077575684,0,0,1114.353
722,محمديه,18,36.2240180969238,50.1825866699219,0,0,1058.999
723,محمودآبادنمونه,18,36.2904205322266,49.9026412963867,0,0,1091.094
724,معلم كلايه,18,36.4472770690918,50.4781951904297,0,0,1143.181
725,نرجه,18,35.9920234680176,49.6203308105469,0,0,1096.885
726,جعفريه,19,34.7746391296387,50.5166053771973,0,0,995.028
727,دستجرد,19,34.552848815918,50.248218536377,0,0,1029.95
728,سلفچگان,19,34.4782638549805,50.4576263427734,0,0,1003.22
729,قم,19,34.5939483642578,50.8742904663086,0,0,965.748
730,قنوات,19,34.611011505127,51.0254707336426,0,0,960.824
731,كهك,19,34.3929252624512,50.8641090393066,0,0,986.579
732,آرمرده,20,35.9293937683106,45.7967300415039,0,0,1550.084
733,بابارشاني,20,35.6742248535156,47.7974739074707,0,0,1286.024
734,بانه,20,35.9957313537598,45.888614654541,0,0,1534.941
735,بلبان آباد,20,35.1371421813965,47.3209915161133,0,0,1329.551
736,بوئين سفلي,20,35.9389801025391,45.9362525939941,0,0,1543.361
737,بيجار,20,35.8828620910645,47.6182594299316,0,0,1318.212
738,چناره,20,35.6301193237305,46.3091011047363,0,0,1473.61
739,دزج,20,35.0647163391113,47.963924407959,0,0,1262.339
740,دلبران,20,35.2384033203125,47.9885711669922,0,0,1285.505
741,دهگلان,20,35.2783355712891,47.4189033508301,0,0,1311.061
742,ديواندره,20,35.9124908447266,47.0249061584473,0,0,1381.86
743,زرينه,20,36.0607261657715,46.9187660217285,0,0,1404.584
744,سروآباد,20,35.3117980957031,46.3669891357422,0,0,1457.371
745,سريش آباد,20,35.2488136291504,47.778491973877,0,0,1282.525
746,سقز,20,36.2441177368164,46.2729225158691,0,0,1475.257
747,سنندج,20,35.2403144836426,47.0064086914063,0,0,1368.081
748,شويشه,20,35.352912902832,46.6784553527832,0,0,1409.839
749,صاحب,20,36.2030944824219,46.461856842041,0,0,1456.062
750,قروه,20,35.1636009216309,47.8100433349609,0,0,1272.533
751,كامياران,20,34.7971687316895,46.9394645690918,0,0,1428.104
752,كاني دينار,20,35.4675331115723,46.2033386230469,0,0,1480.701
753,كاني سور,20,36.0590591430664,45.7488212585449,0,0,1550.796
754,مريوان,20,35.5178718566895,46.1809692382813,0,0,1472.734
755,موچش,20,35.0591430664063,47.1544876098633,0,0,1350.858
756,ياسوكند,20,36.2833938598633,47.7468147277832,0,0,1361.431
757,اختيارآباد,21,30.3197231292725,56.9182777404785,0,0,910.867
758,ارزوئيه,21,28.4579296112061,56.363525390625,0,0,1176.632
759,امين شهر,21,30.8438282012939,55.3393669128418,0,0,1079.047
760,انار,21,30.8725490570068,55.2716293334961,0,0,1063.473
761,اندوهجرد,21,30.2310314178467,57.7540626525879,0,0,1001.359
762,باغين,21,30.1893825531006,56.8132247924805,0,0,931.778
763,بافت,21,29.2321758270264,56.5969924926758,0,0,1065.844
764,بردسير,21,29.9241008758545,56.5787696838379,0,0,971.235
765,بروات,21,29.0470066070557,58.4085884094238,0,0,1108.016
766,بزنجان,21,29.2548351287842,56.6942825317383,0,0,1055.848
767,بم,21,29.067798614502,58.3486175537109,0,0,1101.216
768,بهرمان,21,30.904317855835,55.7273864746094,0,0,967.821
769,پاريز,21,29.8726215362549,55.7505416870117,0,0,1089.686
770,جبالبارز,21,28.9060211181641,57.8827476501465,0,0,1102.755
771,جوپار,21,30.0565242767334,57.1124038696289,0,0,938.495
772,جوزم,21,30.5151195526123,55.0317344665527,0,0,1112.791
773,جيرفت,21,28.6803932189941,57.7419738769531,0,0,1142.266
774,چترود,21,30.6010189056397,56.9091682434082,0,0,871.179
775,خاتون آباد,21,29.9971446990967,55.4199447631836,0,0,1101.431
776,خانوك,21,30.7177200317383,56.7755432128906,0,0,886.117
777,خورسند,21,30.1534004211426,55.0875816345215,0,0,1142.87
778,درب بهشت,21,29.2335548400879,57.3366737365723,0,0,1062.297
779,دوساري,21,28.423189163208,57.9446907043457,0,0,1182.024
780,دهج,21,30.6871662139893,54.8781776428223,0,0,1078.202
781,رابر,21,29.289909362793,56.912956237793,0,0,1080.576
782,راور,21,31.2422618865967,56.7984237670898,0,0,777.668
783,راين,21,29.5988807678223,57.435115814209,0,0,1013.369
784,رفسنجان,21,30.3752765655518,55.9876480102539,0,0,1016.209
785,رودبار,21,28.0208168029785,57.9945793151856,0,0,1229.437
786,ريحان شهر,21,30.7513370513916,56.7360801696777,0,0,881.08
787,زرند,21,30.8117275238037,56.551872253418,0,0,0
788,زنگي آباد,21,30.41259765625,56.9147338867188,0,0,896.053
789,زيدآباد,21,29.5985698699951,55.5349082946777,0,0,1107.269
790,سرچشمه,21,29.9973373413086,55.7947235107422,0,0,1063.125
791,سيرجان,21,29.4376163482666,55.6749076843262,0,0,1085.045
792,شهداد,21,30.4166812896729,57.7017097473145,0,0,1004.084
793,شهربابك,21,30.1183261871338,55.1207885742188,0,0,1137.568
794,صفائيه,21,30.827823638916,55.8113784790039,0,0,956.04
795,عنبرآباد,21,28.4789180755615,57.8425254821777,0,0,1176.249
796,فارياب,21,28.0970840454102,57.2282791137695,0,0,1246.762
797,فهرج,21,28.9478435516357,58.8851127624512,0,0,1157.811
798,قلعه گنج,21,27.5163536071777,57.8829689025879,0,0,1308.28
799,كاظم آباد,21,30.5605564117432,56.8436584472656,0,0,879.067
800,كرمان,21,30.2814025878906,57.0641822814941,0,0,906.826
801,كشكوئيه,21,30.5305233001709,55.6446189880371,0,0,1063.335
802,كوهبنان,21,31.4131984710693,56.2793350219727,0,0,834.202
803,كهنوج,21,27.9224548339844,57.6970748901367,0,0,1240.772
804,كيانشهر,21,31.1560039520264,56.3811111450195,0,0,858.416
805,گلباف,21,29.8844203948975,57.731086730957,0,0,1011.363
806,گلزار,21,29.7112483978272,57.0401115417481,0,0,981.333
807,لاله زار,21,29.5229511260986,56.8163528442383,0,0,1031.037
808,ماهان,21,30.0579090118408,57.2897453308106,0,0,945.148
809,محمد آباد ,21,28.6416683197022,59.0174674987793,0,0,1184.729
810,محي آباد,21,30.0716743469238,57.230110168457,0,0,941.362
811,مردهك,21,28.3499088287354,58.1599197387695,0,0,1214.828
812,منوجان,21,27.4036674499512,57.4967575073242,0,0,1306.744
813,نجف شهر,21,29.3912334442139,55.7205696105957,0,0,1091.312
814,نرماشير,21,28.9515285491943,58.699405670166,0,0,1137.237
815,نظام شهر,21,28.9130706787109,58.5514335632324,0,0,1132.528
816,نگار,21,29.8572177886963,56.8029174804688,0,0,974.987
817,نودژ,21,27.527156829834,57.4494247436523,0,0,1305.155
818,هجدك,21,30.7576065063477,56.9962043762207,0,0,844.475
819,هماشهر ,21,29.6626358032227,55.8096656799316,0,0,1061.081
820,يزدان شهر,21,30.86643409729,56.3758926391602,0,0,883.17
821,ازگله,22,34.8334007263184,45.8419189453125,0,0,1578.462
822,اسلام آبادغرب,22,34.1096153259277,46.5205688476563,0,0,1444.664
823,باينگان,22,34.9814071655273,46.2704124450684,0,0,1494.904
824,بيستون,22,34.3945846557617,47.4476852416992,0,0,1339.171
825,پاوه,22,35.0266914367676,46.3669662475586,0,0,1487.67
826,تازه آباد,22,34.7386207580566,46.1516151428223,0,0,1511.497
827,جوانرود,22,34.8061637878418,46.4921913146973,0,0,1458.946
828,حميل,22,33.9380111694336,46.7728652954102,0,0,1465.478
829,رباط,22,34.2685928344727,46.8064117431641,0,0,1406.45
830,روانسر,22,34.716178894043,46.6560707092285,0,0,1435.389
831,سرپل ذهاب,22,34.4486808776856,45.8630256652832,0,0,1523.775
832,سرمست,22,34.0269546508789,46.3317527770996,0,0,1470.593
833,سطر,22,34.8133888244629,47.4608764648438,0,0,1310.672
